Link,Predict
"['https:', '', 'www.hamshahrionline.ir', 'news', '503910']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503441']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503002']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502442']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '499583']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '499530']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '498104']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '497814']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '496981']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '496976']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '496543']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '496296']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '496290']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '496271']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '495410']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '495215']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494964']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494915']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494819']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494697']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494472']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494490']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494492']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494207']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494081']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494065']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '494035']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '493878']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '493894']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '493784']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504089']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504032']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503988']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504053']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504023']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504009']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504013']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504014']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504005']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503983']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503973']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503977']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503933']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503928']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503915']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503900']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503877']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503842']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503839']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503829']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503819']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503783']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503790']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503786']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503803']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503801']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503774']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503772']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503800']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503798']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503954']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503944']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503913']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503859']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503668']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503583']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503460']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503525']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503503']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503552']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503395']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503223']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503127']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503063']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503106']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503026']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502935']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502653']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502773']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502791']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502560']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502692']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502822']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502410']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502056']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502313']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502247']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502194']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502298']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '502180']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504116']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504062']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503250']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504048']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504037']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504031']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '504006']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503995']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503989']",1
"['https:', '', 'www.hamshahrionline.ir', 'news', '503966']",1
